N,Phosphorous,Potassium,Ph,Soil_Moisture,CEC,SEASON,Suitable_Label
88,54,44,6.149410611,4,39,Whole Year ,"rice,muskmelon,mango"
95,55,42,5.950660556,5.5,7,Whole Year ,"maize,grapes,blackgram"
99,57,35,5.960370061,5.5,6,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
95,39,36,5.561398642,6.5,44,Whole Year ,"pigeonpeas,apple,coffee"
60,43,44,7.416245107,4,42,Whole Year ,"banana,mothbeans,mungbean"
63,44,41,5.583370042,6,43,Whole Year ,"lentil,pomegranate,watermelon"
62,42,36,6.430010215,5,44,Whole Year ,"orange,papaye,coconut"
64,45,43,5.534878156,5.5,42,Whole Year ,"cotton,jute,coffee"
83,60,36,6.903985986,5.5,33,Whole Year ,"mothbeans,rice,muskmelon"
82,40,40,6.271478838,5.5,32,Whole Year ,"rice,muskmelon,mango"
85,52,45,7.224285503,5.5,35,Whole Year ,"maize,grapes,blackgram"
91,35,38,6.13428721,5.5,31,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
76,49,42,5.206373153,5.5,30,Whole Year ,"pigeonpeas,apple,coffee"
74,39,38,7.782051313,5.5,25,Whole Year ,"banana,mothbeans,mungbean"
79,43,39,7.062779015,5.5,27,Whole Year ,"lentil,pomegranate,watermelon"
88,55,45,7.730367824,5.5,28,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
60,36,43,5.286203711,5.5,31,Whole Year ,"pigeonpeas,apple,coffee"
76,60,39,6.766240045,5,32,Whole Year ,"banana,mothbeans,mungbean"
93,56,42,7.382762603,5.5,33,Whole Year ,"lentil,pomegranate,watermelon"
65,60,43,5.658169482,5.5,36,Whole Year ,"orange,papaye,coconut"
95,52,36,5.543360238,6.5,39,Whole Year ,"cotton,jute,coffee"
75,38,39,6.215109715,5,7,Whole Year ,"mothbeans,rice,muskmelon"
74,54,38,7.120272972,4,6,Whole Year ,"rice,muskmelon,mango"
91,36,45,5.950647577,5.5,44,Whole Year ,"maize,grapes,blackgram"
71,46,40,7.236705436,5.5,42,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
99,55,35,6.501697816,6.5,43,Whole Year ,"pigeonpeas,apple,coffee"
72,40,38,7.592490617,4,44,Whole Year ,"banana,mothbeans,mungbean"
83,58,45,5.875345751,6,42,Whole Year ,"lentil,pomegranate,watermelon"
93,58,38,6.932400225,5,33,Whole Year ,"orange,papaye,coconut"
70,36,42,6.946209881,5.5,32,Whole Year ,"cotton,jute,coffee"
76,47,42,5.739175027,5.5,35,Autumn     ,"mothbeans,rice,muskmelon"
99,41,36,6.738652179,5.5,31,Autumn     ,"rice,muskmelon,mango"
99,54,37,5.594819626,5.5,30,Rabi       ,"maize,grapes,blackgram"
86,59,35,6.946636369,5.5,25,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
69,46,41,5.012139669,5.5,27,Rabi       ,"pigeonpeas,apple,coffee"
91,56,37,6.363472208,5.5,28,Rabi       ,"banana,mothbeans,mungbean"
61,52,41,6.880431223,5.5,31,Rabi       ,"lentil,pomegranate,watermelon"
67,45,38,7.300410836,5.5,32,Rabi       ,"cotton,jute,coffee"
79,42,37,6.587918708,5.5,33,Rabi       ,"mothbeans,rice,muskmelon"
78,43,42,7.283736617,5,36,Rabi       ,"rice,muskmelon,mango"
75,54,36,7.023936392,5.5,39,Rabi       ,"maize,grapes,blackgram"
97,36,45,6.939083505,5.5,7,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
67,47,44,7.868474653,6.5,6,Whole Year ,"pigeonpeas,apple,coffee"
73,35,38,5.005306977,5,44,Whole Year ,"banana,mothbeans,mungbean"
77,36,37,6.136131869,4,42,Whole Year ,"lentil,pomegranate,watermelon"
81,41,38,7.524080076,5.5,43,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
68,57,43,5.706943251,5.5,44,Kharif     ,"pigeonpeas,apple,coffee"
72,45,35,5.758506323,6.5,42,Kharif     ,"banana,mothbeans,mungbean"
61,53,43,6.349606327,4,33,Whole Year ,"lentil,pomegranate,watermelon"
67,43,39,5.999969026,6,32,Whole Year ,"orange,papaye,coconut"
67,58,39,5.453592032,5,35,Whole Year ,"cotton,jute,coffee"
66,60,38,6.372576327,5.5,31,Whole Year ,"mothbeans,rice,muskmelon"
82,43,38,5.105588355,5.5,30,Whole Year ,"rice,muskmelon,mango"
84,50,44,5.935344406,5.5,25,Whole Year ,"maize,grapes,blackgram"
81,53,42,5.17782304,5.5,27,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
91,50,40,6.462391607,5.5,28,Whole Year ,"pigeonpeas,apple,coffee"
93,53,38,7.069172227,5.5,31,Kharif     ,"banana,mothbeans,mungbean"
90,44,38,7.473134377,5.5,32,Kharif     ,"lentil,pomegranate,watermelon"
81,45,35,6.158376967,5.5,33,Kharif     ,"orange,papaye,coconut"
78,40,38,7.549873681,5.5,36,Whole Year ,"cotton,jute,coffee"
60,51,36,6.028321558,5.5,39,Whole Year ,"mothbeans,rice,muskmelon"
88,46,42,6.604993475,5,7,Whole Year ,"rice,muskmelon,mango"
93,47,37,6.500343222,5.5,6,Whole Year ,"maize,grapes,blackgram"
60,55,45,5.935745417,5.5,44,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
78,35,44,7.072655622,6.5,42,Kharif     ,"pigeonpeas,apple,coffee"
65,37,40,5.333322606,5,43,Whole Year ,"banana,mothbeans,mungbean"
71,54,16,5.749914421,4,44,Whole Year ,"cotton,jute,coffee"
61,44,17,6.931756558,5.5,42,Whole Year ,"mothbeans,rice,muskmelon"
80,43,16,6.657964753,5.5,33,Whole Year ,"rice,muskmelon,mango"
73,58,21,6.596060648,6.5,32,Whole Year ,"maize,grapes,blackgram"
61,38,20,5.970458434,4,35,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
68,41,16,6.158830619,6,31,Whole Year ,"pigeonpeas,apple,coffee"
93,41,17,6.047906679,5,30,Whole Year ,"banana,mothbeans,mungbean"
89,60,19,5.913664501,5.5,25,Whole Year ,"lentil,pomegranate,watermelon"
76,44,17,5.855442401,5.5,27,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
67,60,25,5.750254943,5.5,28,Whole Year ,"pigeonpeas,apple,coffee"
70,44,19,5.852607099,5.5,31,Whole Year ,"banana,mothbeans,mungbean"
90,49,21,6.472523287,5.5,32,Autumn     ,"lentil,pomegranate,watermelon"
62,52,16,6.967057762,5.5,33,Autumn     ,"orange,papaye,coconut"
92,44,16,6.082973754,5.5,36,Rabi       ,"cotton,jute,coffee"
66,54,21,5.919045532,5.5,39,Rabi       ,"mothbeans,rice,muskmelon"
63,58,22,6.204747653,5.5,7,Rabi       ,"rice,muskmelon,mango"
70,47,17,6.600827017,5.5,6,Rabi       ,"maize,grapes,blackgram"
61,41,17,6.021902237,5,44,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
66,53,19,6.033550195,5.5,42,Rabi       ,"pigeonpeas,apple,coffee"
74,55,19,6.28886807,5.5,43,Rabi       ,"banana,mothbeans,mungbean"
77,57,21,6.550563823,6.5,44,Rabi       ,"lentil,pomegranate,watermelon"
99,50,15,5.573286437,5,42,Rabi       ,"orange,papaye,coconut"
74,56,22,6.829199275,4,33,Rabi       ,"cotton,jute,coffee"
83,45,21,5.716222912,5.5,32,Rabi       ,"mothbeans,rice,muskmelon"
100,48,16,5.54990242,5.5,35,Rabi       ,"rice,muskmelon,mango"
79,51,16,6.586244581,6.5,31,Rabi       ,"maize,grapes,blackgram"
94,39,18,5.893093135,4,30,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
75,49,15,5.918263801,6,25,Whole Year ,"pigeonpeas,apple,coffee"
78,48,22,5.588650585,5,27,Whole Year ,"banana,mothbeans,mungbean"
87,54,20,6.576418207,5.5,28,Kharif     ,"cotton,jute,coffee"
87,35,25,6.178056304,5.5,31,Whole Year ,"mothbeans,rice,muskmelon"
63,43,19,6.641906353,5.5,32,Whole Year ,"rice,muskmelon,mango"
84,57,25,6.489040367,5.5,33,Whole Year ,"maize,grapes,blackgram"
64,35,23,5.680361038,5.5,36,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
60,46,22,6.625404348,5.5,39,Whole Year ,"pigeonpeas,apple,coffee"
98,44,21,6.524478032,5.5,7,Whole Year ,"banana,mothbeans,mungbean"
75,56,18,5.696205468,5.5,6,Whole Year ,"lentil,pomegranate,watermelon"
86,55,21,6.803931519,5.5,44,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
98,35,18,6.252797548,5.5,42,Whole Year ,"pigeonpeas,apple,coffee"
76,57,18,6.092725883,5,43,Kharif     ,"banana,mothbeans,mungbean"
99,56,17,6.234330356,5.5,44,Whole Year ,"lentil,pomegranate,watermelon"
60,44,23,5.722579819,5.5,42,Whole Year ,"orange,papaye,coconut"
74,48,17,6.430616465,6.5,33,Whole Year ,"cotton,jute,coffee"
89,60,17,5.983952675,5,32,Whole Year ,"mothbeans,rice,muskmelon"
69,51,23,6.80163854,4,35,Whole Year ,"rice,muskmelon,mango"
96,46,22,6.499936446,5.5,31,Whole Year ,"maize,grapes,blackgram"
61,60,15,6.265564338,5.5,30,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
74,58,18,6.727303282,6.5,25,Whole Year ,"pigeonpeas,apple,coffee"
74,43,23,6.325235159,4,27,Whole Year ,"banana,mothbeans,mungbean"
63,43,17,6.807487794,6,28,Kharif     ,"lentil,pomegranate,watermelon"
99,36,20,6.671085817,5,31,Whole Year ,"orange,papaye,coconut"
77,36,23,6.648725327,5.5,32,Whole Year ,"cotton,jute,coffee"
87,60,23,6.439071996,5.5,33,Whole Year ,"mothbeans,rice,muskmelon"
60,38,17,6.474476516,5.5,36,Whole Year ,"rice,muskmelon,mango"
94,54,17,5.871647806,5.5,39,Whole Year ,"maize,grapes,blackgram"
95,38,22,5.730617109,5.5,7,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
84,44,21,5.850439831,5.5,6,Whole Year ,"pigeonpeas,apple,coffee"
77,58,19,5.791649933,5.5,44,Whole Year ,"banana,mothbeans,mungbean"
66,44,20,6.740000688,5.5,42,Whole Year ,"cotton,jute,coffee"
63,35,16,6.272417541,5.5,43,Kharif     ,"mothbeans,rice,muskmelon"
79,45,20,5.715208817,5.5,44,Whole Year ,"rice,muskmelon,mango"
72,60,25,5.773454729,5,42,Whole Year ,"maize,grapes,blackgram"
67,51,24,5.584171461,5.5,33,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
86,36,24,5.787268394,5.5,32,Whole Year ,"pigeonpeas,apple,coffee"
76,48,18,5.77597783,6.5,35,Whole Year ,"banana,mothbeans,mungbean"
75,53,18,6.864793607,5,31,Whole Year ,"lentil,pomegranate,watermelon"
81,45,23,6.192360003,4,30,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
73,45,21,6.636803223,5.5,25,Whole Year ,"pigeonpeas,apple,coffee"
71,35,24,5.826426917,5.5,27,Whole Year ,"banana,mothbeans,mungbean"
96,54,22,6.960358276,6.5,28,Whole Year ,"lentil,pomegranate,watermelon"
99,39,18,6.11275104,4,31,Whole Year ,"orange,papaye,coconut"
62,48,20,6.708446922,6,32,Whole Year ,"cotton,jute,coffee"
86,37,16,5.561510732,5,33,Kharif     ,"mothbeans,rice,muskmelon"
94,50,19,5.873242491,5.5,36,Whole Year ,"rice,muskmelon,mango"
76,39,24,6.995843776,5.5,39,Whole Year ,"maize,grapes,blackgram"
77,52,17,5.714799723,5.5,7,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
74,39,23,6.78073637,5.5,6,Whole Year ,"pigeonpeas,apple,coffee"
81,49,20,5.513697923,5.5,44,Whole Year ,"banana,mothbeans,mungbean"
63,42,21,5.798423908,5.5,42,Whole Year ,"lentil,pomegranate,watermelon"
99,38,21,6.352471866,5.5,43,Whole Year ,"orange,papaye,coconut"
90,52,25,6.822586546,5.5,44,Whole Year ,"cotton,jute,coffee"
68,40,19,6.655426355,5.5,42,Whole Year ,"mothbeans,rice,muskmelon"
60,57,24,6.121294041,5.5,33,Whole Year ,"rice,muskmelon,mango"
71,52,18,5.790770203,5,32,Whole Year ,"maize,grapes,blackgram"
61,59,17,6.47444292,5.5,35,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
88,38,15,6.455116637,5.5,31,Autumn     ,"pigeonpeas,apple,coffee"
65,60,22,6.606984086,6.5,30,Autumn     ,"banana,mothbeans,mungbean"
78,37,22,6.330554389,5,25,Rabi       ,"rice,muskmelon,mango"
78,58,15,6.528631266,4,27,Rabi       ,"maize,grapes,blackgram"
92,60,23,5.721667141,5.5,28,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
79,59,17,6.644205485,5.5,31,Rabi       ,"pigeonpeas,apple,coffee"
91,55,15,6.376651091,6.5,32,Rabi       ,"banana,mothbeans,mungbean"
76,51,18,6.247040422,4,33,Rabi       ,"lentil,pomegranate,watermelon"
87,48,25,6.656730008,6,36,Rabi       ,"orange,papaye,coconut"
71,60,22,6.2048017,5,39,Rabi       ,"cotton,jute,coffee"
90,57,24,6.158860284,5.5,7,Rabi       ,"mothbeans,rice,muskmelon"
67,35,22,6.385684214,5.5,6,Rabi       ,"rice,muskmelon,mango"
60,54,19,6.417820493,5.5,44,Rabi       ,"maize,grapes,blackgram"
83,58,23,6.381201909,5.5,42,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
83,57,19,6.877869005,5.5,43,Rabi       ,"pigeonpeas,apple,coffee"
40,72,77,7.485996067,5.5,44,Whole Year ,"banana,mothbeans,mungbean"
23,72,84,6.920251378,5.5,42,Whole Year ,"lentil,pomegranate,watermelon"
39,58,85,5.996932037,5.5,33,Whole Year ,"orange,papaye,coconut"
22,72,85,6.391173589,5.5,32,Kharif     ,"cotton,jute,coffee"
36,67,77,7.152811172,5.5,35,Kharif     ,"mothbeans,rice,muskmelon"
32,73,81,5.988992796,5,31,Kharif     ,"rice,muskmelon,mango"
58,70,84,6.231049028,5.5,30,Kharif     ,"maize,grapes,blackgram"
59,70,84,7.550808267,5.5,25,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
42,62,75,7.010570541,6.5,27,Kharif     ,"pigeonpeas,apple,coffee"
28,74,81,8.753795334,5,28,Kharif     ,"banana,mothbeans,mungbean"
58,66,79,8.718192847,4,31,Kharif     ,"lentil,pomegranate,watermelon"
43,66,79,7.976607593,5.5,32,Kharif     ,"orange,papaye,coconut"
58,63,81,6.515499549,5.5,33,Kharif     ,"cotton,jute,coffee"
23,62,85,8.490127142,6.5,36,Kharif     ,"mothbeans,rice,muskmelon"
27,62,77,6.576415562,4,39,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
28,72,84,6.481783043,6,7,Kharif     ,"pigeonpeas,apple,coffee"
50,56,76,7.966605025,5,6,Kharif     ,"banana,mothbeans,mungbean"
39,71,84,8.140825437,5.5,44,Kharif     ,"lentil,pomegranate,watermelon"
25,78,76,7.228963452,5.5,42,Kharif     ,"orange,papaye,coconut"
31,70,77,6.492546046,5.5,43,Kharif     ,"cotton,jute,coffee"
26,80,83,7.528599957,5.5,44,Rabi       ,"mothbeans,rice,muskmelon"
25,68,77,7.701446446,5.5,42,Rabi       ,"rice,muskmelon,mango"
31,78,76,8.519975748,5.5,33,Rabi       ,"maize,grapes,blackgram"
60,68,83,6.620900869,5.5,32,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
59,62,83,8.104396058,5.5,35,Rabi       ,"pigeonpeas,apple,coffee"
22,67,78,6.204090835,5.5,31,Rabi       ,"banana,mothbeans,mungbean"
36,65,80,6.051091339,5.5,30,Rabi       ,"lentil,pomegranate,watermelon"
59,60,84,7.690962338,5,25,Rabi       ,"orange,papaye,coconut"
54,77,85,7.829211144,5.5,27,Rabi       ,"cotton,jute,coffee"
43,68,81,6.761599706,5.5,28,Rabi       ,"mothbeans,rice,muskmelon"
28,76,82,6.654425315,6.5,31,Rabi       ,"rice,muskmelon,mango"
42,79,85,6.129533877,5,32,Kharif     ,"maize,grapes,blackgram"
32,60,83,8.829273328,4,33,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
22,78,76,8.621662982,5.5,36,Kharif     ,"pigeonpeas,apple,coffee"
31,79,75,8.204862075,5.5,39,Kharif     ,"banana,mothbeans,mungbean"
28,58,81,6.18042747,6.5,7,Kharif     ,"lentil,pomegranate,watermelon"
57,58,77,7.978996755,4,6,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
49,55,78,7.863113671,6,44,Kharif     ,"pigeonpeas,apple,coffee"
46,76,77,6.967843048,5,42,Kharif     ,"banana,mothbeans,mungbean"
54,61,77,6.206582193,5.5,43,Kharif     ,"lentil,pomegranate,watermelon"
38,60,76,8.868741443,5.5,44,Kharif     ,"orange,papaye,coconut"
59,55,79,8.766128654,5.5,42,Kharif     ,"cotton,jute,coffee"
36,76,75,8.736337905,5.5,33,Kharif     ,"mothbeans,rice,muskmelon"
57,68,81,8.081095263,5.5,32,Kharif     ,"rice,muskmelon,mango"
35,66,81,6.138243973,5.5,35,Kharif     ,"maize,grapes,blackgram"
35,64,78,7.496645259,5.5,31,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
52,60,79,8.380185271,5.5,30,Rabi       ,"pigeonpeas,apple,coffee"
27,76,83,6.289614016,5.5,25,Rabi       ,"banana,mothbeans,mungbean"
57,60,84,6.586777189,5.5,27,Rabi       ,"lentil,pomegranate,watermelon"
52,68,78,6.89655198,5,28,Rabi       ,"orange,papaye,coconut"
43,79,79,7.806747656,5.5,31,Rabi       ,"cotton,jute,coffee"
44,74,85,7.150681303,5.5,32,Rabi       ,"mothbeans,rice,muskmelon"
24,55,78,6.64919573,6.5,33,Rabi       ,"rice,muskmelon,mango"
29,77,75,7.778591618,5,36,Rabi       ,"maize,grapes,blackgram"
20,60,78,6.358740355,4,39,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
56,67,78,8.255450758,5.5,7,Rabi       ,"pigeonpeas,apple,coffee"
37,66,85,6.456148474,5.5,6,Whole Year ,"banana,mothbeans,mungbean"
49,71,76,6.613072145,6.5,44,Whole Year ,"lentil,pomegranate,watermelon"
59,69,80,8.165359297,4,42,Kharif     ,"cotton,jute,coffee"
20,79,77,7.64867466,6,43,Kharif     ,"mothbeans,rice,muskmelon"
24,56,85,6.545888558,5,44,Kharif     ,"rice,muskmelon,mango"
51,72,75,7.104224797,5.5,42,Kharif     ,"maize,grapes,blackgram"
57,73,85,7.358099622,5.5,33,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
22,64,82,6.4740245,5.5,32,Kharif     ,"pigeonpeas,apple,coffee"
52,73,79,7.840339389,5.5,35,Kharif     ,"banana,mothbeans,mungbean"
29,75,75,7.064790365,5.5,31,Kharif     ,"lentil,pomegranate,watermelon"
44,59,78,7.599033472,5.5,30,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
41,69,82,6.715587232,5.5,25,Kharif     ,"pigeonpeas,apple,coffee"
52,56,85,6.81712422,5.5,27,Kharif     ,"banana,mothbeans,mungbean"
34,76,80,7.985417393,5.5,28,Kharif     ,"lentil,pomegranate,watermelon"
42,74,83,7.545258424,5.5,31,Kharif     ,"orange,papaye,coconut"
34,71,79,7.728998197,5,32,Rabi       ,"cotton,jute,coffee"
27,73,79,7.354973451,5.5,33,Rabi       ,"mothbeans,rice,muskmelon"
30,70,79,7.313122235,5.5,36,Rabi       ,"rice,muskmelon,mango"
57,57,75,7.785039076,6.5,39,Rabi       ,"maize,grapes,blackgram"
27,79,82,6.307004923,5,7,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
32,71,85,6.403982316,4,6,Rabi       ,"pigeonpeas,apple,coffee"
31,76,82,7.599279991,5.5,44,Rabi       ,"banana,mothbeans,mungbean"
33,75,84,7.217018459,5.5,42,Rabi       ,"lentil,pomegranate,watermelon"
47,80,77,7.561108006,6.5,43,Rabi       ,"orange,papaye,coconut"
54,62,80,7.489545074,4,44,Rabi       ,"cotton,jute,coffee"
47,79,78,6.609696734,6,42,Rabi       ,"mothbeans,rice,muskmelon"
35,57,83,7.476800943,5,33,Rabi       ,"rice,muskmelon,mango"
53,73,77,7.325451279,5.5,32,Rabi       ,"maize,grapes,blackgram"
45,61,78,6.489389282,5.5,35,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
37,78,79,7.786366322,5.5,31,Whole Year ,"pigeonpeas,apple,coffee"
30,75,81,6.408437886,5.5,30,Whole Year ,"banana,mothbeans,mungbean"
37,55,82,8.423873703,5.5,25,Whole Year ,"cotton,jute,coffee"
53,65,76,8.719960893,5.5,27,Kharif     ,"mothbeans,rice,muskmelon"
22,60,85,7.811997977,5.5,28,Kharif     ,"rice,muskmelon,mango"
60,61,78,6.317153205,5.5,31,Kharif     ,"maize,grapes,blackgram"
42,67,77,7.114405288,5.5,32,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
39,76,76,8.135900726,5.5,33,Kharif     ,"pigeonpeas,apple,coffee"
35,63,76,7.714153038,5,36,Kharif     ,"banana,mothbeans,mungbean"
30,65,82,7.103798069,5.5,39,Kharif     ,"lentil,pomegranate,watermelon"
57,56,78,8.861479668,5.5,7,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
48,65,78,7.861128148,6.5,6,Kharif     ,"pigeonpeas,apple,coffee"
36,56,83,7.4526709,5,44,Kharif     ,"banana,mothbeans,mungbean"
40,58,75,7.168096055,4,42,Kharif     ,"lentil,pomegranate,watermelon"
49,69,82,7.26311855,5.5,43,Kharif     ,"orange,papaye,coconut"
13,60,25,5.68597166,5.5,44,Kharif     ,"cotton,jute,coffee"
25,70,16,5.759237003,6.5,42,Kharif     ,"mothbeans,rice,muskmelon"
31,55,22,5.873171894,4,33,Kharif     ,"rice,muskmelon,mango"
40,64,16,5.926676985,6,32,Kharif     ,"maize,grapes,blackgram"
2,61,20,5.95561668,5,35,Kharif     ,"chickpea,kidneybeans,pigeonpeas"
26,65,22,5.949949081,5.5,31,Kharif     ,"pigeonpeas,apple,coffee"
17,57,21,5.789214289,5.5,30,Kharif     ,"banana,mothbeans,mungbean"
26,80,18,5.581021521,5.5,25,Kharif     ,"lentil,pomegranate,watermelon"
17,59,17,5.689858133,5.5,27,Kharif     ,"orange,papaye,coconut"
27,59,22,5.794158504,5.5,28,Kharif     ,"cotton,jute,coffee"
28,58,24,5.748190463,5.5,31,Rabi       ,"mothbeans,rice,muskmelon"
25,57,19,5.566522896,5.5,32,Rabi       ,"rice,muskmelon,mango"
28,80,17,5.809419584,5.5,33,Rabi       ,"maize,grapes,blackgram"
25,60,22,5.887263027,5.5,36,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
12,78,23,5.99812453,5.5,39,Rabi       ,"pigeonpeas,apple,coffee"
6,77,25,5.792744849,5,7,Rabi       ,"banana,mothbeans,mungbean"
22,79,17,5.912289889,5.5,6,Rabi       ,"cotton,jute,coffee"
27,80,15,5.788386951,5.5,44,Rabi       ,"mothbeans,rice,muskmelon"
10,55,23,5.728233081,6.5,42,Rabi       ,"rice,muskmelon,mango"
23,65,20,5.833940084,5,43,Rabi       ,"maize,grapes,blackgram"
19,78,16,5.967533236,4,44,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
19,65,25,5.625096446,5.5,42,Rabi       ,"pigeonpeas,apple,coffee"
22,70,19,5.515615023,5.5,33,Rabi       ,"banana,mothbeans,mungbean"
37,64,22,5.954665349,6.5,32,Rabi       ,"lentil,pomegranate,watermelon"
11,71,17,5.74644777,4,35,Rabi       ,"chickpea,kidneybeans,pigeonpeas"
18,79,20,5.877347515,6,31,Rabi       ,"pigeonpeas,apple,coffee"
21,63,17,5.979973965,5,30,Rabi       ,"banana,mothbeans,mungbean"
24,80,22,5.635993966,5.5,25,Whole Year ,"lentil,pomegranate,watermelon"
34,60,22,5.635231778,5.5,27,Whole Year ,"orange,papaye,coconut"
16,75,21,5.679224346,5.5,28,Whole Year ,"cotton,jute,coffee"
17,77,23,5.670062975,5.5,31,Whole Year ,"mothbeans,rice,muskmelon"
37,72,18,5.724242065,5.5,32,Whole Year ,"rice,muskmelon,mango"
40,73,20,5.811314232,5.5,33,Whole Year ,"maize,grapes,blackgram"
9,77,17,5.783425416,5.5,36,Whole Year ,"chickpea,kidneybeans,pigeonpeas"
1,62,23,5.607808432,5.5,39,Whole Year ,"pigeonpeas,apple,coffee"
33,59,22,5.946999529,5.5,7,Whole Year ,"banana,mothbeans,mungbean"
23,59,19,5.852046999,5.5,6,Kharif     ,"lentil,pomegranate,watermelon"
6,62,22,5.824090984,5,44,Kharif     ,"orange,papaye,coconut"
25,63,20,5.502999119,5.5,42,Kharif     ,"cotton,jute,coffee"
7,79,23,5.821649914,5.5,43,Kharif     ,"mothbeans,rice,muskmelon"
8,72,17,5.711439256,6.5,44,Kharif     ,"rice,muskmelon,mango"
27,64,15,5.514927264,5,42,Kharif     ,"maize,grapes,blackgram"
